time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
56.75000296,0.02545587,0.00312772,0.00000455,787430.00000000,0.01201950,0.000000,0.000000
56.76666963,0.02557479,0.02770904,0.00000911,789096.00000000,0.07314329,0.000000,0.000000
56.78333629,0.02565973,0.03080099,0.00000470,793953.00000000,0.05971902,0.000000,0.000000
56.80000296,0.02561877,0.00268564,0.00000253,799801.00000000,0.00915287,0.000000,0.000000
56.81666963,0.02563132,0.00383921,0.00000832,801470.00000000,0.03068944,0.000000,0.000000
56.83333630,0.02570337,0.00526066,0.00002626,803795.00000000,0.05480909,0.000000,0.000000
56.85000297,0.02567970,0.00440288,0.00000844,805982.00000000,0.01609332,0.000000,0.000000
56.86666963,0.02574032,0.03154061,0.00000741,807648.00000000,0.05035333,0.000000,0.000000
56.88333630,0.02575053,0.01068245,0.00000471,810683.00000000,0.02990469,0.000000,0.000000
56.90000297,0.02572482,0.00636442,0.00000633,815204.00000000,0.01523597,0.000000,0.000000
56.91666963,0.02574085,0.01308804,0.00001035,816833.00000000,0.03229647,0.000000,0.000000
56.93333630,0.02576208,0.01405047,0.00001172,819207.00000000,0.03446609,0.000000,0.000000
56.95000297,0.02577549,0.01209337,0.00001290,821350.00000000,0.03128703,0.000000,0.000000
56.96666964,0.02599817,0.03620696,0.00001724,823079.00000000,0.11774567,0.000000,0.000000
56.98333631,0.02614172,0.03791776,0.00001038,826348.00000000,0.08542474,0.000000,0.000000
57.00000297,0.02610323,0.00333215,0.00000361,830395.00000000,0.01016955,0.000000,0.000000
57.01666964,0.02607461,0.00500688,0.00000378,832107.00000000,0.01419826,0.000000,0.000000
57.03333631,0.02605419,0.00410348,0.00000674,834467.00000000,0.01755973,0.000000,0.000000
57.05000297,0.02601477,0.00361538,0.00000366,836603.00000000,0.00957776,0.000000,0.000000
57.06666964,0.02624324,0.07128717,0.00001012,838322.00000000,0.12174186,0.000000,0.000000
57.08333631,0.02639075,0.03486127,0.00000976,843933.00000000,0.08819549,0.000000,0.000000
57.10000298,0.02637780,0.00409619,0.00001043,850340.00000000,0.02093923,0.000000,0.000000
57.11666965,0.02639062,0.00518748,0.00001185,851978.00000000,0.03179120,0.000000,0.000000
57.13333631,0.02643394,0.00592910,0.00002311,854320.00000000,0.04471347,0.000000,0.000000
57.15000298,0.02642441,0.00523441,0.00001183,856572.00000000,0.02239237,0.000000,0.000000
57.16666965,0.02648654,0.01351032,0.00001231,858305.00000000,0.05283052,0.000000,0.000000
57.18333632,0.02652558,0.01394635,0.00000711,862096.00000000,0.04311634,0.000000,0.000000
57.20000298,0.02651036,0.00762477,0.00000882,866491.00000000,0.02002650,0.000000,0.000000
57.21666965,0.02652604,0.01367355,0.00001005,868145.00000000,0.03322168,0.000000,0.000000
57.23333632,0.02654263,0.01419555,0.00001160,870450.00000000,0.03364386,0.000000,0.000000
57.25000299,0.02654244,0.01085061,0.00001060,872717.00000000,0.02646133,0.000000,0.000000
57.26666965,0.02671601,0.03993883,0.00001409,874342.00000000,0.10134984,0.000000,0.000000
57.28333632,0.02705381,0.05192413,0.00002888,879257.00000000,0.17264460,0.000000,0.000000
57.30000299,0.02704540,0.00952005,0.00001157,883072.00000000,0.02341615,0.000000,0.000000
57.31666966,0.02705307,0.01150840,0.00001089,884593.00000000,0.03037212,0.000000,0.000000
57.33333632,0.02700910,0.00364430,0.00000208,881747.00000000,0.00792409,0.000000,0.000000
57.35000299,0.02696470,0.00330069,0.00000271,883894.00000000,0.00765106,0.000000,0.000000
57.36666966,0.02708747,0.04259023,0.00000726,885517.00000000,0.08061682,0.000000,0.000000
57.38333633,0.02725193,0.04225466,0.00000721,891041.00000000,0.09912294,0.000000,0.000000
57.40000299,0.02720713,0.00292309,0.00000243,897176.00000000,0.00758358,0.000000,0.000000
57.41666966,0.02717917,0.00355459,0.00000607,898858.00000000,0.01490408,0.000000,0.000000
57.43333633,0.02723890,0.00446238,0.00002844,901192.00000000,0.05351813,0.000000,0.000000
57.45000300,0.02721866,0.00365994,0.00001065,903443.00000000,0.01829582,0.000000,0.000000
57.46666966,0.02724571,0.01107704,0.00000822,905086.00000000,0.03920079,0.000000,0.000000
57.48333633,0.02733508,0.01239258,0.00000788,909293.00000000,0.06692732,0.000000,0.000000
57.50000300,0.02730650,0.00630604,0.00000653,914162.00000000,0.01461468,0.000000,0.000000
57.51666967,0.02732945,0.01255775,0.00001367,915716.00000000,0.03754278,0.000000,0.000000
57.53333633,0.02737653,0.01231131,0.00002018,918090.00000000,0.04837536,0.000000,0.000000
57.55000300,0.02740638,0.01918849,0.00001514,920300.00000000,0.04074702,0.000000,0.000000
57.56666967,0.02745552,0.01120743,0.00000933,921124.00000000,0.04947091,0.000000,0.000000
57.58333634,0.02752231,0.02327875,0.00000733,922533.00000000,0.05751190,0.000000,0.000000
57.60000300,0.02747389,0.00277550,0.00000166,927681.00000000,0.00568667,0.000000,0.000000
57.61666967,0.02743612,0.00490445,0.00000287,929250.00000000,0.01040017,0.000000,0.000000
57.63333634,0.02739913,0.00384686,0.00000308,931602.00000000,0.01068056,0.000000,0.000000
57.65000301,0.02735677,0.00364843,0.00000265,933880.00000000,0.00816435,0.000000,0.000000
57.66666967,0.02750227,0.05074204,0.00000806,935551.00000000,0.09356095,0.000000,0.000000
